ID,Infection_status,lf_length,lf_width,stem_diameter_mm,fruit_width,fruit_length,transect_number,field_notes,Paired_data_plants,seed_count,seed_count_notes,Seed_count_real_or_predicted,pair_number
D094,Symptomatic,7,4.9,,NA,NA,40,,Yes,9.771929,,Predicted_from_lf_length,94
D095,Symptomatic,8.7,5.8,,6.5,9.8,41,,Yes,14.17311,,Predicted_from_lf_length,95
D096,Symptomatic,11.1,6.9,,NA,NA,16,,Yes,23.95764,,Predicted_from_lf_length,96
D097,Symptomatic,9.9,5.5,,NA,NA,16,,Yes,18.427,,Predicted_from_lf_length,97
D098,Symptomatic,9.5,5.4,,NA,NA,16,,Yes,16.88333,,Predicted_from_lf_length,98
D099,Symptomatic,10.9,6.3,,2.9,7.3,16,,Yes,22.9322,,Predicted_from_lf_length,99
D100,Symptomatic,8.1,5.5,,NA,NA,16,,Yes,12.42998,,Predicted_from_lf_length,100
D101,Symptomatic,10.2,7.1,,NA,NA,101,,Yes,19.67668,,Predicted_from_lf_length,101
D102,Symptomatic,13.7,10.2,,NA,NA,101,,Yes,42.30784,,Predicted_from_lf_length,102
D103,Symptomatic,6,3,,NA,NA,101,,Yes,7.852161,,Predicted_from_lf_length,103
D104,Symptomatic,10.6,7,,6.2,8.1,20,,Yes,21.47575,,Predicted_from_lf_length,104
D105,Symptomatic,9.7,5.1,,NA,NA,20,,Yes,17.63829,,Predicted_from_lf_length,105
D106,Symptomatic,10.6,7.2,,5.8,7.3,20,,Yes,21.47575,,Predicted_from_lf_length,106
D107,Symptomatic,6.8,4.3,,NA,NA,20,,Yes,9.353671,,Predicted_from_lf_length,107
D108,Symptomatic,5.8,2.8,,NA,NA,108,,Yes,7.516073,,Predicted_from_lf_length,108
D109,Symptomatic,11,6.8,,NA,NA,109,,Yes,23.43931,,Predicted_from_lf_length,109
D110,Symptomatic,10.2,7.4,,NA,NA,109,,Yes,19.67668,,Predicted_from_lf_length,110
D111,Symptomatic,9.1,5,,NA,NA,6,,Yes,15.46898,,Predicted_from_lf_length,111
D112,Symptomatic,10.8,6.4,,NA,NA,112,,Yes,22.43606,,Predicted_from_lf_length,112
D113,Symptomatic,11.4,6.8,,7.2,8.8,113,,Yes,25.5824,,Predicted_from_lf_length,113
D114,Symptomatic,8.6,5.2,,7.6,11,114,,Yes,13.86648,,Predicted_from_lf_length,114
D115,Symptomatic,11.6,8.1,,2.9,4.9,115,,Yes,26.72634,,Predicted_from_lf_length,115
D116,Symptomatic,8.6,5.5,,7.3,9.4,116,,Yes,13.86648,,Predicted_from_lf_length,116
D117,Symptomatic,10.1,5.8,,NA,NA,116,,Yes,19.25098,,Predicted_from_lf_length,117
D118,Symptomatic,10.9,6.4,,NA,NA,76,,Yes,22.9322,,Predicted_from_lf_length,118
D119,Symptomatic,6,3.1,,NA,NA,73,,Yes,7.852161,,Predicted_from_lf_length,119
D120,Symptomatic,7.6,4.4,,NA,NA,49,,Yes,11.1423,,Predicted_from_lf_length,120
D121,Symptomatic,5.6,2.7,,NA,NA,49,,Yes,7.19437,,Predicted_from_lf_length,121
D122,Symptomatic,6.4,3.3,,NA,NA,122,,Yes,8.570095,,Predicted_from_lf_length,122
D123,Symptomatic,5.4,4,,NA,NA,123,,Yes,6.886436,,Predicted_from_lf_length,123
D124,Symptomatic,10.2,6,,2,4,47,,Yes,19.67668,,Predicted_from_lf_length,124
D125,Symptomatic,6.2,5,,NA,NA,125,,Yes,8.203278,,Predicted_from_lf_length,125
D126,Symptomatic,8.2,5.4,,NA,NA,125,,Yes,12.70485,,Predicted_from_lf_length,126
D127,Symptomatic,6.2,3.6,,NA,NA,69,,Yes,8.203278,,Predicted_from_lf_length,127
D128,Symptomatic,10.8,7,,3.4,7.2,69,,Yes,22.43606,,Predicted_from_lf_length,128
D129,Symptomatic,5.6,3.2,,NA,NA,69,,Yes,7.19437,,Predicted_from_lf_length,129
D130,Symptomatic,7,3.8,,NA,NA,130,,Yes,9.771929,,Predicted_from_lf_length,130
D131,Symptomatic,4.8,3,,NA,NA,130,,Yes,6.039484,,Predicted_from_lf_length,131
D132,Symptomatic,6.6,4.3,,NA,NA,130,,Yes,8.953315,,Predicted_from_lf_length,132
D133,Symptomatic,8.7,5.9,,NA,NA,133,,Yes,14.17311,,Predicted_from_lf_length,133
D134,Symptomatic,7.4,3.8,,NA,NA,133,,Yes,10.66539,,Predicted_from_lf_length,134
D135,Symptomatic,8.4,4.8,,7.3,8.8,135,,Yes,13.27296,,Predicted_from_lf_length,135
D136,Symptomatic,4,3,,NA,NA,13,,Yes,5.069988,,Predicted_from_lf_length,136
D137,Symptomatic,7.5,4.3,,NA,NA,136,,Yes,10.90124,,Predicted_from_lf_length,137
